ttydasm v1.0 by PistonMiner, built on Wed Jul 19 12:47:35 2017


--- START OF DISASSEMBLY FOR FUNCTION [unk_evt_end_000040b4 end_unknown.o] AT 805BEA54 ---
805BEA54:   setii LW(0) 0
805BEA60:   loop 0
805BEA68:     callc [unk_end_000022ec end_unknown.o] LW(0) LW(1)
805BEA78:     begin_thread
805BEA7C:       callc [unk_end_00001d94 end_unknown.o] LW(0)
805BEA88:     end_thread
805BEA8C:     if_int_eq LW(1) 1
805BEA98:       wait_ms 1920
805BEAA0:     endif
805BEAA4:     if_int_eq LW(1) 2
805BEAB0:       wait_ms 6000
805BEAB8:     endif
805BEABC:     addi LW(0) 1
805BEAC8:     if_int_ge LW(0) 152
805BEAD4:       dbg_report ["あにめおわり"]
805BEADC:       loop_break
805BEAE0:     endif
805BEAE4:     if_int_eq GF(10) 1
805BEAF0:       return
805BEAF4:     endif
805BEAF8:   end_loop
805BEAFC:   return
805BEB00:   end
